패턴이름,해당숫자,최소,최대
,",4,7,10,15,16,29,35,",0,3
,",2,7,8,21,27,41,44,",0,3
,",1,4,9,10,23,29,43,",0,3
,",1,14,20,34,37,40,45,",0,3
,",2,3,16,22,36,39,42,",0,3
,",3,6,9,14,15,28,34,",0,3
,",5,8,11,16,17,30,36,",0,3
상하,",1,2,4,7,8,9,10,15,16,21,23,27,29,35,38,41,43,44,",1,5
측면,",1,2,3,5,6,8,9,11,14,15,16,17,20,22,28,30,34,36,37,39,40,42,45,",1,4
총수,",1,2,3,4,5,6,7,8,9,10,11,14,15,16,17,20,21,22,23,27,28,29,30,34,35,36,37,38,39,40,41,42,43,44,45,",3,5
,",1,7,8,21,35,",0,2
,",6,12,21,23,24,30,44,",0,2
2전 직관,",12,15,30,35,38,42,",0,2
,",5,6,9,22,27,30,35,",0,3
,",4,19,20,23,36,41,44,",0,3
,",11,12,15,28,33,36,41,",0,3
,",13,14,17,30,35,38,43,",0,3
,",4,5,8,21,26,29,34,",0,3
,",6,7,10,23,28,31,36,",0,3
,",3,18,19,22,35,40,43,",0,3
,",5,20,21,24,37,42,45,",0,3
상하,",4,5,6,9,11,12,13,14,15,17,19,20,22,23,27,28,30,33,35,36,38,41,43,44,",1,4
측면,",3,4,5,6,7,8,10,18,19,20,21,22,23,24,26,28,29,31,34,35,36,37,40,42,43,45,",2,5
총수,",3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,26,27,28,29,30,31,33,34,35,36,37,38,40,41,42,43,44,45,",3,6
,",2,4,9,10,11,40,41,42,",0,3
,",1,2,7,9,14,15,16,45,",0,3
,",1,2,3,8,10,15,16,17,",0,3
,",14,15,16,21,23,28,29,30,",0,3
,",20,21,22,27,29,34,35,36,",0,2
,",3,4,5,34,35,36,41,43,",0,3
,",1,6,7,8,37,38,39,44,",0,2
총수,",1,2,3,4,5,6,7,8,9,10,11,14,15,16,17,20,21,22,23,27,28,29,30,34,35,36,37,38,39,40,41,42,43,44,45,",3,6
내림 03,",2,3,6,8,16,30,37,38,",0,3
01,",8,16,22,27,28,35,",0,3
,",4,5,6,11,13,18,19,20,",0,3
,",5,6,7,12,14,19,20,21,",0,3
,",21,22,23,28,30,35,36,37,",0,3
,",26,27,28,33,35,40,41,42,",0,3
,",29,30,31,36,38,43,44,45,",0,3
,",3,4,5,34,35,36,41,43,",0,3
,",8,9,10,15,17,22,23,24,",0,3
총수,",3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,26,27,28,29,30,31,33,34,35,36,37,38,40,41,42,43,44,45,",3,6
내림 03,",6,12,21,23,24,30,44,",0,2
내림 03,",1,7,8,21,35,",0,2
01,",12,15,30,35,38,42,",0,2
2전 직관,",30,36,",0,1
1,",3,10,17,24,31,38,43,44,45,",0,4
2,",1,2,3,4,5,6,7,8,15,22,29,36,43,",0,4
3,",1,2,3,4,5,6,7,9,16,23,30,37,44,",0,4
4,",1,8,15,16,17,18,19,20,21,22,29,36,43,",0,4
5,",7,14,15,16,17,18,19,20,21,28,35,42,",0,3
6,",7,14,21,28,29,30,31,32,33,34,35,42,",0,4
보,",3,10,17,31,36,37,38,39,40,41,42,45,",0,4
없는수,",11,12,13,25,26,27,",0,3
03,",1,3,4,7,14,15,21,23,28,36,37,42,",0,3
01,",8,10,",0,1
01,",14,21,",0,1
,",8,30,35,37,42,",0,2
,",22,28,6,",0,2
,",15,21,1,",0,2
,",29,35,23,",0,2
,",15,21,42,",0,2
1,",1,2,3,4,5,6,7,12,19,26,33,40,",0,4
2,",1,2,3,4,5,6,7,13,20,27,34,41,",0,4
3,",1,8,15,22,23,24,25,26,27,28,29,36,43,",0,4
4,",6,13,20,22,23,24,25,26,27,28,34,41,",0,4
5,",2,9,16,23,29,30,31,32,33,34,35,37,44,",0,4
6,",7,14,21,28,29,30,31,32,33,34,35,42,",0,4
보,",2,8,9,10,11,12,13,14,16,23,30,37,44,",0,3
없는수,",1,6,7,8,11,13,14,19,22,23,27,28,29,35,",0,3
내림 03,",1,7,14,15,21,22,23,35,38,39,41,42,",0,3
내림 03,",7,9,13,16,26,27,29,30,34,35,36,41,",0,3
02,",5,6,8,14,15,17,20,22,30,31,35,36,37,45,",0,3
02,",1,7,23,",0,2
02,",1,7,27,",0,2
02,",1,7,22,",0,2
,",22,28,8,",0,2
수직내림 03,",8,9,10,12,16,29,30,35,39,44,",0,3
사선내림 03,",1,2,3,7,9,10,14,16,17,21,22,25,26,27,28,29,35,36,",0,3
3내림 02,",25,28,29,",0,1
2연+3연내림 총 04,",1,2,3,7,8,9,10,12,14,16,17,21,22,25,26,27,28,29,30,35,36,39,44,",0,4
,",2,4,5,6,7,10,11,15,17,18,19,20,21,23,25,26,27,32,33,36,38,39,40,43,",1,5
,",2,5,7,10,11,15,23,36,38,40,43,",0,4
,",3,4,6,12,14,17,19,20,21,22,24,25,27,30,31,32,35,37,39,",0,5
,",1,8,18,26,29,33,34,45,",0,3
,",9,13,16,28,41,42,44,",0,2
,",2,3,4,5,6,7,10,11,12,14,15,17,19,20,21,22,23,24,25,27,30,31,32,35,36,37,38,39,40,43,",2,6
,",5,7,12,23,24,35,37,38,40,",0,4
,",3,10,14,19,21,27,29,36,43,",0,4
,",1,2,6,8,11,15,20,26,30,42,",0,4
,",4,17,33,39,44,",0,3
,",13,16,22,25,31,45,",0,3
,",9,18,28,32,34,41,",0,2
,",1,2,3,5,6,7,8,10,11,12,14,15,19,20,21,23,24,26,27,29,30,35,36,37,38,40,42,43,",3,6
26,",1,3,5,7,8,10,11,12,14,19,20,21,23,24,27,29,30,35,36,37,38,40,42,43,",2,6
,",2,4,6,15,17,26,33,39,44,",0,3
,",13,16,22,25,31,45,",0,3
,",9,18,28,32,34,41,",0,2
04,",2,4,6,9,13,15,16,17,18,22,25,26,28,31,32,33,34,39,41,44,45,",0,4
,",5,7,12,23,35,37,38,40,",0,3
,",4,6,11,17,21,24,26,29,36,43,",0,4
,",1,3,8,14,19,20,22,27,30,33,42,",0,4
,",2,9,10,13,16,18,34,39,44,",0,3
,",15,25,28,31,32,41,45,",0,3
,",4,5,6,7,11,12,17,21,23,24,26,29,35,36,37,38,40,43,",1,5
16,",1,3,4,5,6,7,8,11,12,14,17,19,20,21,22,23,24,26,27,29,30,33,35,36,37,38,40,42,43,",3,6
,",2,9,10,13,16,18,34,39,44,",0,3
,",15,25,28,31,32,41,45,",0,3
05,",2,9,10,13,15,16,18,25,28,31,32,34,39,41,44,45,",0,3
,",7,12,37,40,43,",0,3
,",3,4,5,6,11,14,18,19,20,21,22,29,33,34,35,36,",0,4
,",1,8,9,13,16,23,24,26,30,32,42,44,",0,4
,",2,17,38,39,",0,2
,",10,15,25,27,28,31,41,45,",0,3
,",1,3,4,5,6,7,8,9,11,12,13,14,16,18,19,20,21,22,23,24,26,29,30,32,33,34,35,36,37,40,42,43,44,",3,6
15,",3,4,5,6,7,8,11,12,13,14,16,18,19,20,21,22,23,24,26,29,32,33,34,35,36,37,40,42,43,",1,6
,",1,9,30,44,",0,2
,",2,10,17,38,39,",0,3
,",15,25,27,28,31,41,45,",0,3
04,",1,2,9,10,15,17,25,27,28,30,31,38,39,41,44,45,",0,5
,",4,5,7,12,21,23,37,40,43,",0,4
,",3,6,11,14,18,19,20,26,29,32,33,35,36,",0,4
,",1,2,8,16,17,22,24,30,34,39,",0,4
,",9,10,13,15,25,27,28,31,38,41,42,44,45,",0,4
,",3,4,5,6,7,11,12,14,18,19,20,21,23,26,29,32,33,35,36,37,40,43,",1,5
,",11,12,13,14,19,22,29,34,40,43,",0,4
,",3,4,5,6,7,8,9,17,18,20,21,23,26,32,35,36,37,42,44,",0,4
,",1,2,10,15,16,24,30,33,38,39,41,",0,4
,",25,27,28,31,45,",0,2
,",3,4,5,6,7,8,9,11,12,13,14,17,18,19,20,21,22,23,26,29,32,34,35,36,37,40,42,43,44,",2,6
16,",3,4,5,6,7,8,9,11,12,13,14,17,18,19,20,21,22,23,26,29,32,33,34,35,36,37,40,42,43,44,",2,6
,",39,",0,2
,",1,2,15,16,24,30,38,41,",0,3
,",25,27,28,31,45,",0,2
05,",1,2,15,16,24,25,27,28,30,31,38,39,41,45,",0,4
,",5,11,12,14,19,21,40,43,",0,4
,",3,4,6,7,8,10,13,15,17,18,20,22,23,26,29,32,33,34,35,36,37,38,39,",0,4
,",2,9,30,42,44,",0,3
,",1,16,24,25,27,28,31,41,45,",0,3
,",3,4,5,6,7,8,10,11,12,13,14,15,17,18,19,20,21,22,23,26,29,32,33,34,35,36,37,38,39,40,43,",2,6
,",5,11,12,14,18,21,34,43,44,",0,4
,",4,6,7,8,10,13,20,22,29,32,35,40,42,",0,4
,",1,3,9,17,19,23,24,26,30,33,36,37,38,39,41,",0,4
,",2,15,16,25,27,28,31,45,",0,3
,",4,5,6,7,8,10,11,12,13,14,18,20,21,22,29,32,34,35,40,42,43,44,",1,4
15,",4,5,6,7,8,10,11,12,13,14,18,19,20,21,22,29,32,34,35,36,39,40,42,43,44,",1,5
,",3,17,26,30,",0,2
,",1,9,15,23,24,25,33,37,38,41,45,",0,3
,",2,16,27,28,31,",0,2
15,",1,2,3,9,15,16,17,23,24,25,26,27,28,30,31,33,37,38,41,45,",1,5
16,",1,2,4,5,6,8,10,11,12,13,14,15,18,19,20,21,22,23,26,29,30,32,33,34,35,36,37,38,39,40,41,42,43,44,45,",3,6
,",7,9,17,25,",0,2
,",24,",0,2
,",3,16,27,28,31,",0,2
05,",3,7,9,16,17,24,25,27,28,31,",0,4
,",1,4,5,10,14,18,34,36,40,41,42,43,44,",0,4
,",2,8,11,12,13,17,19,20,21,22,23,26,29,30,32,33,35,39,45,",0,4
,",6,9,15,24,25,37,38,",0,3
,",3,7,16,27,28,31,",0,2
,",1,2,4,5,8,10,11,12,13,14,17,18,19,20,21,22,23,26,29,30,32,33,34,35,36,39,40,41,42,43,44,45,",2,6
16,",1,2,4,5,8,10,11,12,13,14,17,18,19,20,21,22,23,26,29,30,32,33,34,35,36,39,40,41,42,43,44,45,",2,6
,",6,24,",0,1
,",9,15,25,37,38,",0,3
,",3,7,16,27,28,31,",0,2
05,",3,6,7,9,15,16,24,25,27,28,31,37,38,",0,4
05,",5,11,34,43,",0,2
6,",7,12,14,18,20,21,32,",0,3
7,",4,6,10,19,22,35,36,39,40,44,",0,3
8,",8,17,26,29,30,38,42,",0,3
9,",2,13,15,23,33,",0,3
10상,",1,3,9,16,24,25,27,28,31,37,41,45,",0,3
08,",4,5,6,7,8,10,11,12,14,17,18,19,20,21,22,26,29,30,32,34,35,36,38,39,40,42,43,44,",1,5
,",1,2,4,5,6,7,8,10,11,12,13,14,17,18,19,20,21,22,23,26,29,30,32,33,34,35,36,37,38,39,40,42,43,44,45,",3,6
,",9,15,24,25,41,",0,3
,",3,",0,1
,",16,27,28,31,",0,2
,",3,9,15,16,24,25,27,28,31,41,",0,3
1,",1,2,3,8,9,10,15,16,17,",0,4
2,",2,3,4,9,10,11,16,17,18,",0,4
3,",3,4,5,10,11,12,17,18,19,",0,4
4,",4,5,6,11,12,13,18,19,20,",0,4
5,",5,6,7,12,13,14,19,20,21,",0,4
6,",1,6,7,8,13,14,15,20,21,",0,4
7,",1,2,7,8,9,14,15,16,21,",0,4
8,",8,9,10,15,16,17,22,23,24,",0,3
9,",9,10,11,16,17,18,23,24,25,",0,4
10,",10,11,12,17,18,19,24,25,26,",0,4
11,",11,12,13,18,19,20,25,26,27,",0,4
12,",12,13,14,19,20,21,26,27,28,",0,4
13,",8,13,14,15,20,21,22,27,28,",0,4
14,",8,9,14,15,16,21,22,23,28,",0,3
15,",15,16,17,22,23,24,29,30,31,",0,3
16,",16,17,18,23,24,25,30,31,32,",0,4
17,",17,18,19,24,25,26,31,32,33,",0,4
18,",18,19,20,25,26,27,32,33,34,",0,3
19,",19,20,21,26,27,28,33,34,35,",0,4
20,",15,20,21,22,27,28,29,34,35,",0,4
21,",15,16,21,22,23,28,29,30,35,",0,4
22,",22,23,24,29,30,31,36,37,38,",0,3
23,",23,24,25,30,31,32,37,38,39,",0,4
24,",24,25,26,31,32,33,38,39,40,",0,4
25,",25,26,27,32,33,34,39,40,41,",0,4
26,",26,27,28,33,34,35,40,41,42,",0,4
27,",22,27,28,29,34,35,36,41,42,",0,4
28,",22,23,28,29,30,35,36,37,42,",0,4
29,",29,30,31,36,37,38,43,44,45,",0,3
30,",4,30,31,32,37,38,39,44,45,",0,4
31,",4,5,31,32,33,38,39,40,45,",0,4
32,",4,5,6,32,33,34,39,40,41,",0,4
33,",5,6,7,33,34,35,40,41,42,",0,4
34,",1,6,7,29,34,35,36,41,42,",0,4
35,",1,2,7,29,30,35,36,37,42,",0,4
36,",1,2,3,36,37,38,43,44,45,",0,4
37,",2,3,4,11,37,38,39,44,45,",0,4
38,",3,4,5,11,12,38,39,40,45,",0,4
39,",4,5,6,11,12,13,39,40,41,",0,4
40,",5,6,7,12,13,14,40,41,42,",0,4
41,",1,6,7,8,13,14,36,41,42,",0,4
42,",1,2,7,8,9,14,36,37,42,",0,4
43,",1,2,3,8,9,10,43,44,45,",0,4
44,",2,3,4,9,10,11,18,44,45,",0,3
45,",3,4,5,10,11,12,18,19,45,",0,4
구역분할          좌,",1,2,3,8,9,10,15,16,17,22,23,24,29,30,31,36,37,38,43,44,45,",1,5
X좌,",1,2,3,4,5,6,8,9,10,11,12,15,16,17,18,22,23,24,29,30,36,",1,5
역X,",1,8,9,15,16,17,22,23,24,25,29,30,31,32,33,36,37,38,39,40,41,43,44,45,",1,5
테,",1,2,3,4,5,6,7,8,14,15,21,22,28,29,35,36,39,40,41,42,43,44,45,",1,5
X실,",1,9,17,25,33,41,7,13,19,31,37,43,",0,4
X굵,",6,7,12,13,14,18,19,20,24,25,26,30,31,32,36,37,38,43,44,",1,5
역X실,",1,2,8,9,10,16,17,18,24,25,26,32,33,34,40,41,42,",0,4
다이아,",4,10,11,12,16,17,18,19,20,22,23,24,25,26,27,30,31,32,33,38,39,",2,5
X   상,",1,9,17,25,33,41,7,13,19,31,37,43,",0,4
상,",2,3,4,5,6,10,11,12,18,",0,3
하,",32,38,39,40,44,45,",0,3
좌,",8,15,16,22,23,24,29,30,36,",0,3
우,",14,20,21,26,27,28,34,35,42,",0,3
X  상,",1,9,17,25,33,41,7,13,19,31,37,43,2,3,4,5,6,10,11,12,18,",1,5
하,",1,9,17,25,33,41,7,13,19,31,37,43,32,38,39,40,44,45,",1,5
좌,",1,9,17,25,33,41,7,13,19,31,37,43,8,15,16,22,23,24,29,30,36,",1,5
우,",1,9,17,25,33,41,7,13,19,31,37,43,14,20,21,26,27,28,34,35,42,",0,5
확대      상,",2,3,4,5,6,10,11,12,18,1,9,17,7,13,19,",0,4
하,",32,38,39,40,44,45,25,31,37,43,33,41,",0,4
좌,",8,15,16,22,23,24,29,30,36,1,9,17,31,37,43,",1,4
우,",14,20,21,26,27,28,34,35,42,7,13,19,25,33,41,",0,4
쌍둥이수,",11,22,33,44,",0,2
1~7            11,",1,2,3,4,5,6,7,8,15,22,29,36,43,",0,4
12,",1,2,3,4,5,6,7,9,16,23,30,37,44,",0,4
13,",1,2,3,4,5,6,7,10,17,24,31,38,45,",0,4
14,",1,2,3,4,5,6,7,11,18,25,32,39,",0,4
15,",1,2,3,4,5,6,7,12,19,26,33,40,",0,4
16,",1,2,3,4,5,6,7,13,20,27,34,41,",0,4
17,",1,2,3,4,5,6,7,14,21,28,35,42,",0,4
8~14         21,",1,8,9,10,11,12,13,14,15,22,29,36,43,",0,4
22,",2,8,9,10,11,12,13,14,16,23,30,37,44,",0,4
23,",3,8,9,10,11,12,13,14,17,24,31,38,45,",0,4
24,",4,8,9,10,11,12,13,14,18,25,32,39,",0,4
25,",5,8,9,10,11,12,13,14,19,26,33,40,",0,4
26,",6,8,9,10,11,12,13,14,20,27,34,41,",0,4
27,",7,8,9,10,11,12,13,14,21,28,35,42,",0,4
15~21           31,",1,8,15,16,17,18,19,20,21,22,29,36,43,",0,4
32,",2,9,15,16,17,18,19,20,21,23,30,37,44,",0,4
33,",3,10,15,16,17,18,19,20,21,24,31,38,45,",0,4
34,",4,11,15,16,17,18,19,20,21,25,32,39,",0,4
35,",5,12,15,16,17,18,19,20,21,26,33,40,",0,4
36,",6,13,15,16,17,18,19,20,21,27,34,41,",0,4
37,",7,14,15,16,17,18,19,20,21,28,35,42,",0,4
22~28          41,",1,8,15,22,23,24,25,26,27,28,29,36,43,",0,4
42,",2,9,16,22,23,24,25,26,27,28,30,37,44,",0,4
43,",3,10,17,22,23,24,25,26,27,28,31,38,45,",0,4
44,",4,11,18,22,23,24,25,26,27,28,32,39,",0,4
45,",5,12,19,22,23,24,25,26,27,28,33,40,",0,4
46,",6,13,20,22,23,24,25,26,27,28,34,41,",0,4
47,",7,14,21,22,23,24,25,26,27,28,35,42,",0,4
29~35            51,",1,8,15,22,29,30,31,32,33,34,35,36,43,",0,4
52,",2,9,16,23,29,30,31,32,33,34,35,37,44,",0,4
53,",3,10,17,24,29,30,31,32,33,34,35,38,45,",0,4
54,",4,11,18,25,29,30,31,32,33,34,35,39,",0,4
55,",5,12,19,26,29,30,31,32,33,34,35,40,",0,4
56,",6,13,20,27,29,30,31,32,33,34,35,41,",0,4
57,",7,14,21,28,29,30,31,32,33,34,35,42,",0,4
36~42           61,",1,8,15,22,29,36,37,38,39,40,41,42,43,",0,4
62,",2,9,16,23,30,36,37,38,39,40,41,42,44,",0,4
63,",3,10,17,24,31,36,37,38,39,40,41,42,45,",0,4
64,",4,11,18,25,32,36,37,38,39,40,41,42,",0,4
65,",5,12,19,26,33,36,37,38,39,40,41,42,",0,4
66,",6,13,20,27,34,36,37,38,39,40,41,42,",0,4
67,",7,14,21,28,35,36,37,38,39,40,41,42,",0,4
X1                   1,",1,2,3,5,6,7,8,9,13,14,15,21,",0,4
2,",1,2,3,4,8,9,12,15,20,28,",0,3
3,",1,2,3,8,9,11,15,19,27,35,",0,4
4,",1,2,3,8,9,10,15,18,26,34,42,",0,3
5,",1,2,3,8,9,15,17,25,33,41,",0,4
6,",1,2,3,8,9,15,16,24,32,40,",0,4
7,",1,2,3,8,9,15,23,31,39,",0,4
8,",1,2,3,8,9,15,22,29,30,36,37,38,43,44,45,",0,3
X2                   1,",4,5,6,7,10,13,14,16,21,22,",0,4
2,",4,10,12,16,20,22,28,",0,4
3,",3,4,10,11,16,19,22,27,35,",0,4
4,",2,4,10,16,18,22,26,34,42,",0,4
5,",1,4,9,10,16,17,22,25,33,41,",0,4
6,",4,8,10,16,22,24,32,40,",0,4
7,",4,10,15,16,22,23,31,39,",0,4
8,",4,10,16,22,29,30,36,37,38,43,44,45,",0,4
X3                  1,",5,6,7,11,13,14,17,21,23,29,",0,4
2,",4,5,11,12,17,20,23,28,29,",0,4
3,",3,5,11,17,19,23,27,29,35,",0,4
4,",2,5,10,11,17,18,23,26,29,34,42,",0,4
5,",1,5,9,11,17,23,25,29,33,41,",0,4
6,",5,8,11,16,17,23,24,29,32,40,",0,4
7,",5,11,15,17,23,29,31,39,",0,4
8,",5,11,17,22,23,29,30,36,37,38,43,44,45,",0,4
X4                   1,",5,6,7,12,13,14,18,21,24,30,36,",0,4
2,",4,6,12,18,20,24,28,30,36,",0,4
3,",3,6,11,12,18,19,24,27,30,35,36,",0,4
4,",2,6,10,12,18,24,26,30,34,36,42,",0,4
5,",1,6,9,12,17,18,24,25,30,33,36,41,",0,4
6,",6,8,12,16,18,24,30,32,36,40,",0,4
7,",6,12,15,18,23,24,30,31,36,39,",0,4
8,",6,12,18,22,24,29,30,36,37,38,43,44,45,",0,3
X5                   1,",5,6,7,13,14,19,21,25,31,37,43,",0,4
2,",4,7,12,13,19,20,25,28,31,37,43,",0,4
3,",3,7,11,13,19,25,27,31,35,37,43,",0,4
4,",2,7,10,13,18,19,25,26,31,34,37,42,43,",0,3
5,",1,7,9,13,17,19,25,31,33,37,41,43,",0,3
6,",7,8,13,16,19,24,25,31,32,37,40,43,",0,4
7,",7,13,15,19,23,25,31,37,39,43,",0,4
8,",7,13,19,22,25,29,30,31,36,37,38,43,45,",0,4
X6                   1,",5,6,7,13,14,20,21,26,32,38,44,",0,4
2,",4,12,14,20,26,28,32,38,44,",0,4
3,",3,11,14,19,20,26,27,32,35,38,44,",0,4
4,",2,10,14,18,20,26,32,34,38,42,44,",0,4
5,",1,9,14,17,20,25,26,32,33,38,41,44,",0,3
6,",8,14,16,20,24,26,32,38,40,44,",0,4
7,",14,15,20,23,26,31,32,38,39,44,",0,4
8,",14,20,22,26,29,30,32,36,37,38,43,44,45,",0,4
X7                   1,",5,6,7,13,14,21,27,33,39,45,",0,4
2,",4,12,20,21,27,28,33,39,45,",0,4
3,",3,11,19,21,27,33,35,39,45,",0,4
4,",2,10,18,21,26,27,33,34,39,42,45,",0,4
5,",1,9,17,21,25,27,33,39,41,45,",0,3
6,",8,16,21,24,27,32,33,39,40,45,",0,4
7,",15,21,23,27,31,33,39,45,",0,4
8,",21,22,27,29,30,33,36,37,38,39,43,44,45,",0,4
X8                   1,",5,6,7,13,14,21,28,34,35,40,41,42,",0,4
2,",4,12,20,28,34,35,40,41,42,",0,4
3,",3,11,19,27,28,34,35,40,41,42,",0,4
4,",2,10,18,26,28,34,35,40,41,42,",0,4
5,",1,9,17,25,28,33,34,35,40,41,42,",0,4
6,",8,16,24,28,32,34,35,40,41,42,",0,4
7,",15,23,28,31,34,35,39,40,41,42,",0,4
8,",22,28,29,30,34,35,36,37,38,40,41,42,43,44,45,",0,3
생태도 1~45 04,",1,5,6,8,10,11,12,18,19,21,22,25,33,36,37,38,40,43,",0,5
,",2,5,6,7,10,11,14,18,19,21,26,30,36,38,40,41,44,",0,5
,",3,4,5,7,11,12,16,19,20,21,30,38,40,41,43,44,",0,5
